t,j1,j2,j3,j4,j5,j6
6.49437,-0.0599943,0.258815,0.497882,0.412337,0.878193,-4.0069e-05
6.52712,-0.0581536,0.258712,0.497636,0.407101,0.87651,-4.00925e-05
6.55617,-0.0562921,0.258616,0.497374,0.401631,0.874804,-4.01162e-05
6.5815,-0.0544102,0.258527,0.497095,0.395927,0.873076,-4.014e-05
6.60496,-0.0525072,0.258445,0.496799,0.389981,0.871329,-4.01639e-05
6.6298,-0.0505831,0.258371,0.496488,0.383791,0.869564,-4.01879e-05
6.65986,-0.0486376,0.258304,0.49616,0.377351,0.867785,-4.0212e-05
6.69634,-0.04667,0.258246,0.495816,0.370656,0.865993,-4.02362e-05
6.72948,-0.0446804,0.258196,0.495457,0.363702,0.864191,-4.02605e-05
6.76304,-0.0426681,0.258156,0.495081,0.356484,0.862382,-4.02849e-05
6.80229,-0.0406334,0.258126,0.49469,0.348999,0.86057,-4.03095e-05
6.83776,-0.0385756,0.258106,0.494283,0.341242,0.858756,-4.03341e-05
6.87132,-0.036495,0.258096,0.493861,0.33321,0.856946,-4.03588e-05
6.90219,-0.0343909,0.258098,0.493423,0.324898,0.855143,-4.03837e-05
6.93386,-0.0322635,0.258112,0.492971,0.316303,0.853349,-4.04087e-05
6.97123,-0.0301121,0.258139,0.492504,0.307421,0.851571,-4.04337e-05
7.01527,-0.0279369,0.258179,0.492022,0.298249,0.849811,-4.04589e-05
7.07071,-0.0257374,0.258232,0.491526,0.288783,0.848075,-4.04841e-05
7.11796,-0.0235141,0.2583,0.491015,0.279023,0.846367,-4.05093e-05
7.16734,-0.0212666,0.258383,0.490491,0.268966,0.844692,-4.05347e-05
7.23055,-0.018995,0.258482,0.489954,0.258611,0.843055,-4.05602e-05
7.28219,-0.0166992,0.258597,0.489403,0.247956,0.841463,-4.05857e-05
7.3331,-0.0143795,0.25873,0.488839,0.237003,0.839919,-4.06114e-05
7.39663,-0.0120352,0.258881,0.488263,0.225746,0.838431,-4.06371e-05
7.45255,-0.00966647,0.25905,0.487674,0.214188,0.837004,-4.06629e-05
7.51857,-0.00727418,0.259239,0.487073,0.202333,0.835643,-4.06888e-05
7.57228,-0.00485807,0.259449,0.486461,0.19018,0.834357,-4.07146e-05
7.6236,-0.00241849,0.259679,0.485837,0.177732,0.83315,-4.07405e-05
7.68526,4.41944e-05,0.259932,0.485202,0.164994,0.832029,-4.07665e-05
7.74029,0.00252965,0.260207,0.484557,0.15197,0.831001,-4.07926e-05
7.80192,0.005038,0.260505,0.483902,0.138661,0.830072,-4.08187e-05
7.85463,0.00756704,0.260828,0.483237,0.125084,0.829249,-4.0845e-05
