t,j1,j2,j3,j4,j5,j6
7.1793,-0.0508737,0.30615,0.669998,1.23582,1.07094,1.42728e-06
7.20452,-0.0532076,0.306658,0.670632,1.23494,1.07221,1.42794e-06
7.22587,-0.0555442,0.307175,0.671248,1.23403,1.07348,1.4286e-06
7.24706,-0.0578834,0.307701,0.671847,1.2331,1.07478,1.42926e-06
7.27166,-0.0602251,0.308236,0.672428,1.23214,1.07608,1.42994e-06
7.30227,-0.0625692,0.308781,0.672991,1.23115,1.07739,1.43061e-06
7.34191,-0.0649158,0.309335,0.673536,1.23013,1.07872,1.43128e-06
7.37214,-0.0672647,0.309898,0.674063,1.22909,1.08006,1.43195e-06
7.39663,-0.069616,0.31047,0.674571,1.22801,1.08141,1.43262e-06
7.42297,-0.0719694,0.311052,0.67506,1.22691,1.08278,1.43328e-06
7.45409,-0.074325,0.311643,0.675531,1.22577,1.08415,1.43395e-06
7.48072,-0.0766828,0.312243,0.675982,1.22461,1.08554,1.43461e-06
7.50463,-0.0790425,0.312853,0.676415,1.22341,1.08694,1.43527e-06
7.52592,-0.0814042,0.313471,0.676827,1.22219,1.08835,1.43593e-06
7.54837,-0.0837678,0.314099,0.677221,1.22093,1.08977,1.43659e-06
7.57475,-0.0861332,0.314737,0.677594,1.21964,1.09121,1.43724e-06
7.60493,-0.0885003,0.315383,0.677947,1.21832,1.09265,1.43789e-06
7.64218,-0.090869,0.316039,0.67828,1.21697,1.09411,1.43853e-06
7.67187,-0.0932394,0.316704,0.678593,1.21558,1.09558,1.43918e-06
7.69648,-0.0956112,0.317379,0.678884,1.21416,1.09706,1.43982e-06
7.71795,-0.0979844,0.318063,0.679155,1.21271,1.09855,1.44046e-06
7.74028,-0.100359,0.318756,0.679405,1.21123,1.10006,1.44109e-06
7.76607,-0.102735,0.319458,0.679634,1.20971,1.10158,1.44172e-06
7.79253,-0.105112,0.32017,0.679841,1.20816,1.1031,1.44235e-06
7.82202,-0.107489,0.320891,0.680027,1.20658,1.10464,1.44298e-06
7.85831,-0.109868,0.321621,0.680191,1.20496,1.10619,1.4436e-06
7.88819,-0.112248,0.322361,0.680332,1.20331,1.10776,1.44422e-06
7.91487,-0.114628,0.32311,0.680452,1.20162,1.10933,1.44483e-06
7.93776,-0.117009,0.323868,0.680549,1.1999,1.11092,1.44544e-06
7.96038,-0.119391,0.324635,0.680623,1.19814,1.11252,1.44605e-06
7.98755,-0.121773,0.325412,0.680675,1.19635,1.11412,1.44666e-06
8.02064,-0.124155,0.326198,0.680703,1.19452,1.11574,1.44726e-06
8.04854,-0.126538,0.326993,0.680708,1.19266,1.11738,1.44786e-06
8.07551,-0.12892,0.327797,0.68069,1.19076,1.11902,1.44845e-06
8.10674,-0.131303,0.32861,0.680648,1.18882,1.12067,1.44904e-06
8.13485,-0.133685,0.329433,0.680582,1.18685,1.12234,1.44963e-06
8.15861,-0.136067,0.330265,0.680493,1.18484,1.12402,1.45022e-06
8.18398,-0.138449,0.331105,0.680379,1.1828,1.12571,1.4508e-06
8.21404,-0.14083,0.331955,0.68024,1.18072,1.12741,1.45138e-06
8.24078,-0.143211,0.332814,0.680077,1.1786,1.12912,1.45196e-06
8.26441,-0.14559,0.333683,0.67989,1.17644,1.13085,1.45254e-06
8.28924,-0.147969,0.33456,0.679677,1.17425,1.13258,1.45311e-06
8.31784,-0.150347,0.335446,0.679439,1.17202,1.13433,1.45368e-06
8.34537,-0.152723,0.336341,0.679175,1.16975,1.13609,1.45425e-06
8.36857,-0.155099,0.337245,0.678886,1.16745,1.13785,1.45481e-06
8.39103,-0.157472,0.338158,0.678571,1.16511,1.13964,1.45538e-06
8.41751,-0.159844,0.33908,0.678231,1.16273,1.14143,1.45594e-06
8.44813,-0.162215,0.340011,0.677864,1.16031,1.14323,1.4565e-06
8.47409,-0.164583,0.34095,0.67747,1.15785,1.14505,1.45706e-06
8.49619,-0.166949,0.341899,0.677051,1.15536,1.14687,1.45762e-06
8.51918,-0.169313,0.342856,0.676604,1.15283,1.14871,1.45818e-06
8.5475,-0.171674,0.343822,0.67613,1.15025,1.15056,1.45875e-06
8.58232,-0.174033,0.344796,0.67563,1.14765,1.15242,1.45932e-06
8.61182,-0.176389,0.345779,0.675102,1.145,1.15429,1.45989e-06
8.64034,-0.178742,0.346771,0.674546,1.14231,1.15617,1.46046e-06
8.66494,-0.181092,0.347771,0.673963,1.13958,1.15806,1.46104e-06
8.69033,-0.183439,0.348779,0.673352,1.13682,1.15997,1.46162e-06
8.71977,-0.185782,0.349796,0.672713,1.13401,1.16188,1.46221e-06
8.74714,-0.188121,0.350822,0.672045,1.13117,1.16381,1.4628e-06
8.77761,-0.190457,0.351855,0.671349,1.12828,1.16575,1.46339e-06
