t,trans_x,trans_y,trans_z,rot_x,rot_y,rot_z,
8.21404,1.44195,-0.0356627,0.824307,0.99245,3.08758,0.981117,
8.24078,1.44154,-0.0390604,0.82352,0.992808,3.0885,0.982071,
8.26441,1.44115,-0.0424609,0.822742,0.99316,3.08945,0.982999,
8.28924,1.44076,-0.0458642,0.821971,0.993507,3.09043,0.983901,
8.31784,1.44039,-0.0492701,0.821208,0.993848,3.09144,0.984777,
8.34537,1.44002,-0.0526789,0.820454,0.994182,3.09247,0.985625,
8.36857,1.43966,-0.0560903,0.819707,0.99451,3.09353,0.986447,
8.39103,1.43931,-0.0595045,0.818968,0.994832,3.09462,0.987242,
8.41751,1.43897,-0.0629215,0.818238,0.995146,3.09574,0.98801,
8.44813,1.43864,-0.0663411,0.817517,0.995454,3.09688,0.988751,
8.47409,1.43832,-0.0697634,0.816803,0.995754,3.09805,0.989464,
8.49619,1.43801,-0.0731885,0.816099,0.996046,3.09925,0.99015,
8.51918,1.43771,-0.0766162,0.815403,0.996331,3.10048,0.990807,
8.5475,1.43742,-0.0800466,0.814716,0.996608,3.10173,0.991437,
8.58232,1.43714,-0.0834796,0.814038,0.996876,3.10302,0.992039,
8.61182,1.43687,-0.0869153,0.813369,0.997135,3.10433,0.992612,
8.64034,1.43661,-0.0903535,0.812709,0.997386,3.10568,0.993157,
8.66494,1.43637,-0.0937944,0.812059,0.997627,3.10705,0.993673,
8.69033,1.43613,-0.0972377,0.811418,0.997859,3.10846,0.994161,
8.71977,1.4359,-0.100684,0.810787,0.998081,3.10989,0.994619,
8.74714,1.43569,-0.104132,0.810165,0.998293,3.11135,0.995049,
8.77761,1.43549,-0.107583,0.809553,0.998494,3.11285,0.995449,
8.80396,1.4353,-0.111036,0.808951,0.998684,3.11437,0.995819,
8.83034,1.43512,-0.114492,0.808359,0.998864,3.11593,0.99616,
8.86079,1.43495,-0.11795,0.807777,0.999031,3.11751,0.996471,
8.88613,1.4348,-0.12141,0.807205,0.999187,3.11913,0.996752,
8.90749,1.43465,-0.124872,0.806644,0.99933,3.12078,0.997003,
8.92888,1.43452,-0.128337,0.806093,0.999461,3.12246,0.997223,
8.95352,1.43441,-0.131804,0.805553,0.999578,3.12417,0.997413,
8.9821,1.4343,-0.135272,0.805024,0.999682,3.12592,0.997572,
9.01868,1.43421,-0.138743,0.804505,0.999772,3.1277,0.9977,
9.05591,1.43413,-0.142216,0.803998,0.999848,3.12951,0.997797,
9.10596,1.43407,-0.145691,0.803501,0.999909,3.13135,0.997863,
9.146,1.43402,-0.149167,0.803016,0.999955,3.13323,0.997898,
9.19842,1.43398,-0.152645,0.802542,0.999986,3.13514,0.997901,
9.23293,1.43395,-0.156125,0.802079,1,3.13708,0.997872,
9.25772,1.43394,-0.159606,0.801628,0.999998,3.13906,0.997811,
9.27898,1.43395,-0.163089,0.801189,0.999979,3.14108,0.997718,
9.30195,1.43397,-0.166574,0.800761,0.999944,-3.14006,0.997594,
9.33118,1.434,-0.170059,0.800346,0.99989,-3.13798,0.997437,
9.36926,1.43405,-0.173546,0.799942,0.999818,-3.13586,0.997247,
9.39948,1.43411,-0.177034,0.799551,0.999728,-3.13371,0.997025,
9.42812,1.43419,-0.180523,0.799172,0.999619,-3.13152,0.99677,
9.46216,1.43428,-0.184013,0.798805,0.99949,-3.12929,0.996483,
9.49158,1.43439,-0.187504,0.798451,0.999342,-3.12703,0.996163,
